term,sim_hosp,sim_praise,margin,freq,group
generosos,0.4339945316314697,0.3961752653121948,0.0378192663192749,30,gener
docente,0.433609127998352,0.2943765521049499,0.1392325758934021,81,docen
coordenadora,0.4334587156772613,0.347919762134552,0.0855389535427093,38,coord
conto,0.4334482550621032,0.3440559208393097,0.0893923342227935,42,conto
qualificada,0.4331468343734741,0.3937018513679504,0.0394449830055236,61,quali
educada,0.4331365823745727,0.3720584213733673,0.0610781610012054,362,educa
consistentemente,0.4330513179302215,0.3530617654323578,0.0799895524978637,39,consi
cresceu,0.4329896867275238,0.2857150733470917,0.1472746133804321,36,cresc
simpaticas,0.432742714881897,0.3675162494182586,0.0652264654636383,168,simpa
criativas,0.4326057732105255,0.4125332534313202,0.0200725197792053,108,criat
pole,0.4322882294654846,0.2718878388404846,0.160400390625,153,pole
privacidade,0.4322251379489898,0.2883546650409698,0.14387047290802,62,priva
sinceridade,0.4321090281009674,0.2817531526088714,0.1503558754920959,40,since
seguro,0.4317067265510559,0.3758808374404907,0.0558258891105651,646,segur
recebido,0.4316336214542389,0.2416025102138519,0.1900311112403869,173,receb
infraestrutura,0.4314033389091491,0.242787167429924,0.1886161714792251,60,infra
interagir,0.4313626587390899,0.3520461320877075,0.0793165266513824,50,inter
condicionamento,0.4311660528182983,0.2650672793388366,0.1660987734794616,70,condi
esforca,0.431134432554245,0.3675668835639953,0.0635675489902496,56,esfor
apoiaram,0.4310934245586395,0.3571219742298126,0.0739714503288269,26,apoia
transformacao,0.4310034513473511,0.2614242732524872,0.1695791780948639,27,trans
estruturada,0.4309934675693512,0.3609541952610016,0.0700392723083496,40,estru
sorrisos,0.4308590590953827,0.2486773431301117,0.182181715965271,60,sorri
tranquilidade,0.4308193325996399,0.3166604936122894,0.1141588389873504,284,tranq
imaginava,0.4307900965213775,0.3985463380813598,0.0322437584400177,30,imagi
celebracao,0.4302342534065246,0.362404465675354,0.0678297877311706,61,celeb
elevado,0.4302309453487396,0.3153216540813446,0.114909291267395,43,eleva
incomparaveis,0.4299934506416321,0.3923491835594177,0.0376442670822143,41,incom
latina,0.4298981428146362,0.3936765789985657,0.0362215638160705,41,latin
segredos,0.4298692643642425,0.3879157900810241,0.0419534742832183,27,segre
filipina,0.4297331571578979,0.3502568304538727,0.0794763267040252,26,filip
louvaveis,0.4293275475502014,0.3424098789691925,0.0869176685810089,49,louva
aprendizado,0.429302841424942,0.3232810795307159,0.106021761894226,528,apren
sincera,0.429213136434555,0.2904996573925018,0.1387134790420532,146,since
treinadores,0.4292108714580536,0.2662208080291748,0.1629900634288787,149,trein
respeitosos,0.4291336834430694,0.3842780292034149,0.0448556542396545,82,respe
divertiu,0.4286954998970032,0.3919321596622467,0.0367633402347564,59,diver
funcionarias,0.4286745190620422,0.3364271521568298,0.0922473669052124,37,funci
equipado,0.4286310374736786,0.3455321490764618,0.0830988883972168,128,equip
ministradas,0.4281231164932251,0.3649850189685821,0.0631380975246429,31,minis
disciplina,0.4279534518718719,0.1898041367530822,0.2381493151187896,83,disci
criativo,0.427700936794281,0.3863546252250671,0.0413463115692138,239,criat
cuida,0.4271624088287353,0.3354089558124542,0.0917534530162811,75,cuida
atencao,0.4269772171974182,0.2998780608177185,0.1270991563796997,1775,atenc
risadas,0.4266427159309387,0.3487364053726196,0.077906310558319,96,risad
decoracao,0.426143079996109,0.2943354845046997,0.1318075954914093,468,decor
apaixonar,0.425995409488678,0.3721848726272583,0.0538105368614196,48,apaix
prestativa,0.4257432818412781,0.404205322265625,0.021537959575653,1003,prest
transforma,0.4256613552570343,0.3132085502147674,0.1124528050422668,41,trans
hospedei,0.4255995154380798,0.3852679431438446,0.0403315722942352,29,hospe
dominio,0.4254937171936035,0.3972192406654358,0.0282744765281677,37,domin
vegetacao,0.4254578948020935,0.347451776266098,0.0780061185359954,27,veget
parecesse,0.4247793555259704,0.3278539776802063,0.0969253778457641,52,parec
abraco,0.4246843159198761,0.4006430506706238,0.0240412652492523,111,abrac
fossemos,0.4244981110095978,0.2704792022705078,0.1540189087390899,73,fosse
ventre,0.4241676032543182,0.371591180562973,0.0525764226913452,102,ventr
prestou,0.4238952100276947,0.3995947539806366,0.0243004560470581,114,prest
familia,0.4238222241401672,0.368378221988678,0.0554440021514892,2551,famil
vive,0.4237880110740661,0.3037254810333252,0.1200625300407409,27,vive
adiciona,0.4232759475708008,0.3242072463035583,0.0990687012672424,31,adici
respeitado,0.423243761062622,0.3128238618373871,0.1104198992252349,34,respe
viva,0.4227901101112366,0.2832354307174682,0.1395546793937683,56,viva
performance,0.4227542877197265,0.3391834795475006,0.0835708081722259,36,perfo
dedicacao,0.4223172962665558,0.3235895037651062,0.0987277925014495,654,dedic
artistica,0.4222767651081085,0.2899844348430633,0.1322923302650451,102,artis
coreografos,0.4221493899822235,0.2900179922580719,0.1321313977241516,43,coreo
saio,0.4220453798770904,0.2047114223241806,0.2173339575529098,51,saio
saudacoes,0.4218420386314392,0.3752423226833343,0.0465997159481048,62,sauda
hospedar,0.4218275845050812,0.3137508034706116,0.1080767810344696,68,hospe
casual,0.4216806590557098,0.3849557638168335,0.0367248952388763,37,casua
reconfortante,0.4215927422046661,0.3368443846702575,0.0847483575344085,69,recon
heranca,0.4212419092655182,0.2869836688041687,0.1342582404613495,99,heran
segura,0.4210805594921112,0.352893590927124,0.0681869685649871,438,segur
entra,0.4208801686763763,0.1763090789318084,0.2445710897445678,126,entra
essencial,0.4206326007843017,0.3912309110164642,0.0294016897678375,64,essen
guiando,0.4201682507991791,0.3651122450828552,0.0550560057163238,45,guian
magia,0.4201682507991791,0.3523954451084137,0.0677728056907653,81,magia
