,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,prevalence
hospitaleiro/hospitalidade,0.10385287648592013,-0.07638685779931051,0.009553959350981333,0.028932401326097163,0.009938354608299099,-0.5867334846653036,-0.02713334439265182,0.02371734513664628,0.022898373294354263,0.10350830722279801,-0.01938670098958569,0.049727633422499626,-0.09750845282615432,-0.11626067483402365,0.012793407118397692,0.035013880273160755,-0.03250191936671424,0.015005978477481068
humana,0.003692649393483308,-0.06959653058837102,-0.04899326414287322,-0.043787430919432456,0.12485429646050136,-0.04311764673668939,-0.07873788994267833,0.005603692338994505,0.0030789075524831045,-0.00205609936208628,0.006910014646219454,0.07123145366746456,-0.16779234162278506,0.3520257995012065,0.15178696383286974,-0.05303704001782729,-0.004305468545757791,0.0050617776006377044
humilde/humildes,0.016938567387142035,0.0014645398134974388,0.08514991797090923,0.04088848059287267,-0.048337190451928,0.03478258444546137,0.020182267530365762,0.01029550265332412,0.07038420789193803,0.08765033767585428,0.03376073138495921,-0.104110277412123,-0.4783761937402787,-0.08249613883979863,0.05925148894229099,0.040372341966778795,-0.0242559841868112,0.004882423276205659
humorados,0.06868128075899806,-0.05020735936460379,0.02745229301715142,-0.08433600122726835,0.06760434620202169,0.05241221352279527,0.0420542669245251,-0.17223860920503495,0.026311062792781708,0.019245332617047053,0.1714485904931133,0.09583891613410636,0.08113871371242942,0.06872044060891132,-0.047207062396830236,0.013532347236516157,0.2743839490299877,0.007333599043443603
impecavelmente,0.022032257097587084,-0.042708227062746525,-0.10826693297680853,-0.03306280577753787,0.020005305589236626,-0.13266274150991753,-0.35868150913663716,0.03244365394050293,0.045124156232511224,-0.02271492997040596,-0.0623452083203107,0.02139275960140514,0.0749513069640453,-0.2865753717024883,-0.05436053134103433,0.03261236204649217,0.016216902134965384,0.02106416899163013
incentiva/incentivam/incentivar/incentivo,-0.04075553939526698,0.5277524721418774,-0.06031603760799034,-0.00666209686205145,0.01792714687262834,0.004051944469662867,-0.0015460836261744397,0.013159922194296621,0.045695018403632146,0.03891524515864846,0.061192995933706994,-0.037914840927295995,0.022776945616311613,-0.044928567689881876,0.05646629451980034,-0.021116737249534934,-0.00966568800954647,0.0072937425269031485
inclusivo,0.14130728671946427,0.026560672758573215,0.018779366312125192,-0.35330906424524106,-0.047349511245586576,0.0022051164236652444,0.0438083763521696,0.009142929910011154,0.008261321854543098,0.15169822563258387,0.0008681693952129994,0.09730029013307566,0.07088784538277472,-0.0388957235200969,-0.04570004337833004,0.04465935270999422,-0.05452692061898086,0.02943403746512555
incrivel,0.12581301323540514,0.12102595372685537,-0.00495446746084026,0.06349142846168071,-0.23493269710157613,-0.06623966507027718,-0.11850088289991748,-0.3674053961444695,0.14156945044659075,0.19244318518566156,0.05652860048128897,0.0024011244397986417,0.07776378290668262,0.031157865314994097,-0.03841596279375658,-0.00805413689488895,-0.06465841510377306,0.1805699481865285
inspira/inspiracao/inspirador/inspiradora,0.188632389766965,0.386914402387392,-0.1234892108353523,0.023628272448583593,0.07469665804036447,-0.003565109238782435,0.03423628054281655,0.0715968729708772,0.20834415933624154,0.012344705442851678,0.06928716760151832,0.011940136957842688,-0.021766286673581593,0.015338338740134074,0.05800571294473226,0.0685803201679515,-0.03824427001793243,0.012016739736946992
interacao,0.0747887674766787,0.09724461644171958,0.030125059098008538,-0.32966856696105185,0.03533726375978503,-0.0013889269186866309,0.07622393672925916,-0.033240017343914234,0.013281179268673225,0.009106404238726254,0.08680894170053462,0.1399658715894036,-0.03368298692866035,-0.02429297449881304,0.004587563613593567,0.2814345829501814,-0.08401528468498874,0.06460741331207652
