term,sim_hosp,sim_praise,margin,freq,group
inspiradoras,0.5492849946022034,0.41043367981910706,0.1388513147830963,32,inspi
sorrindo,0.5488543510437012,0.4291227459907532,0.119731605052948,31,sorri
exemplar,0.548229992389679,0.4748905599117279,0.07333943247795105,54,exemp
calorosamente,0.5473456978797913,0.272239089012146,0.27510660886764526,75,calor
sorridente,0.5435574054718018,0.43076297640800476,0.112794429063797,53,sorri
genuino,0.5428382158279419,0.34823232889175415,0.19460588693618774,146,genui
descontraido,0.5415738224983215,0.4190312922000885,0.12254253029823303,149,desco
harmonia,0.5382897257804871,0.4187048673629761,0.11958485841751099,27,harmo
contagiante,0.5381646156311035,0.3658387064933777,0.17232590913772583,120,conta
simpatia,0.5346096158027649,0.376895934343338,0.15771368145942688,303,simpa
motivacao,0.5343071222305298,0.30976179242134094,0.22454532980918884,40,motiv
presteza,0.5327715277671814,0.34490397572517395,0.18786755204200745,59,prest
yulia,0.5320562124252319,0.4101964831352234,0.12185972929000854,39,yulia
vibracoes,0.5319055914878845,0.43178847432136536,0.10011711716651917,134,vibra
serena,0.5315899848937988,0.397458553314209,0.13413143157958984,40,seren
eficazes,0.5306789875030518,0.3522627055644989,0.17841628193855286,26,efica
apoiam,0.5300077199935913,0.32308465242385864,0.20692306756973267,34,apoia
inspiradora,0.529026985168457,0.3723965287208557,0.15663045644760132,145,inspi
calma,0.528949499130249,0.36310577392578125,0.16584372520446777,181,calma
amigavel,0.5287817120552063,0.496347039937973,0.032434672117233276,1258,amiga
solidaria,0.5279709100723267,0.4483588635921478,0.07961204648017883,45,solid
cuidada,0.5277572274208069,0.3325408399105072,0.19521638751029968,70,cuida
acolhedoras,0.5259591937065125,0.3544278144836426,0.17153137922286987,67,acolh
humildes,0.5239430665969849,0.3625805079936981,0.16136255860328674,40,humil
gentileza,0.5234055519104004,0.3078862428665161,0.21551930904388428,397,genti
dedicadas,0.5233358144760132,0.39473238587379456,0.12860342860221863,28,dedic
inspiradores,0.5232872366905212,0.3982652723789215,0.12502196431159973,30,inspi
encantadora,0.5216895937919617,0.439107209444046,0.08258238434791565,143,encan
generosidade,0.5210608839988708,0.3373550474643707,0.18370583653450012,46,gener
energias,0.519367516040802,0.43343737721443176,0.08593013882637024,35,energ
positiva,0.5184034705162048,0.36162900924682617,0.15677446126937866,328,posit
uniao,0.5179717540740967,0.32630306482315063,0.19166868925094604,26,uniao
fuga,0.5155352354049683,0.3658871054649353,0.14964812994003296,25,fuga
respeitosa,0.5149781107902527,0.32453054189682007,0.19044756889343262,92,respe
incentiva,0.5144202709197998,0.2543577253818512,0.2600625455379486,67,incen
amizades,0.5143947601318359,0.30828171968460083,0.2061130404472351,83,amiza
privilegiada,0.5139762759208679,0.4486553370952606,0.0653209388256073,31,privi
comunitario,0.5130634903907776,0.43048927187919617,0.08257421851158142,29,comun
comovente,0.5125615000724792,0.31139397621154785,0.2011675238609314,33,comov
autoestima,0.5122081637382507,0.2283758670091629,0.28383229672908783,25,autoe
amizade,0.5103586912155151,0.3388522267341614,0.17150646448135376,42,amiza
